ID,Year,State,Crop_Type,Rainfall (mm),Soil_Type,Irrigation_Area (ha),Crop_Yield (kg/ha)
1,2006,Punjab,Bajra,300,Loamy,90,2863
2,2005,Punjab,Wheat,405,Loamy,104,3132
3,2008,Punjab,Wheat,538,Loamy,147,3992
4,2018,Punjab,Rice,943,Loamy,107,3067
5,2012,Punjab,Rice,977,Loamy,169,3222
6,2009,Punjab,Wheat,516,Loamy,159,3390
7,2003,Punjab,Wheat,522,Loamy,109,3276
8,2018,Punjab,Wheat,583,Alluvial,103,3020
9,2017,Punjab,Bajra,511,Loamy,69,2036
10,2002,Punjab,Wheat,467,Alluvial,130,3111
11,2020,Punjab,Bajra,472,Loamy,79,2932
12,2018,Punjab,Rice,855,Loamy,104,3173
13,2014,Punjab,Wheat,401,Alluvial,116,2845
14,2003,Punjab,Bajra,535,Loamy,83,2180
15,2004,Punjab,Rice,967,Alluvial,118,2617
16,2020,Punjab,Wheat,674,Loamy,112,3207
17,2019,Punjab,Wheat,624,Loamy,178,3576
18,2008,Punjab,Wheat,667,Alluvial,180,2755
19,2002,Punjab,Bajra,388,Loamy,85,2571
20,2003,Punjab,Wheat,653,Loamy,101,3488
21,2008,Punjab,Wheat,613,Loamy,147,3800
22,2013,Punjab,Wheat,501,Loamy,110,3329
23,2000,Punjab,Wheat,547,Loamy,107,3420
24,2006,Punjab,Rice,850,Loamy,164,3287
25,2020,Punjab,Bajra,581,Loamy,84,2523
26,2004,Punjab,Rice,914,Loamy,112,2812
27,2011,Punjab,Rice,880,Loamy,141,3285
28,2014,Punjab,Wheat,504,Alluvial,171,3229
29,2000,Punjab,Wheat,569,Alluvial,112,2766
30,2009,Punjab,Wheat,452,Loamy,124,3494
31,2006,Punjab,Bajra,321,Loamy,73,2394
32,2009,Punjab,Wheat,535,Loamy,120,3254
33,2019,Punjab,Bajra,362,Loamy,96,2290
34,2013,Punjab,Wheat,634,Alluvial,119,3437
35,2013,Punjab,Bajra,445,Loamy,59,2193
36,2019,Punjab,Wheat,555,Loamy,123,3038
37,2018,Punjab,Rice,983,Loamy,161,3312
38,2008,Punjab,Wheat,604,Loamy,139,3780
39,2006,Punjab,Bajra,516,Loamy,66,2805
40,2014,Punjab,Rice,955,Loamy,179,2838
41,2004,Punjab,Wheat,603,Alluvial,163,3321
42,2001,Punjab,Rice,832,Loamy,110,3052
43,2018,Punjab,Wheat,513,Loamy,136,3826
44,2005,Punjab,Rice,995,Loamy,140,3438
45,2003,Punjab,Bajra,478,Loamy,52,2266
46,2002,Punjab,Rice,863,Loamy,135,3219
47,2009,Punjab,Rice,936,Loamy,178,3357
48,2005,Punjab,Rice,971,Loamy,131,3132
49,2001,Punjab,Wheat,530,Alluvial,142,3355
50,2000,Punjab,Wheat,604,Loamy,114,3901
51,2020,Punjab,Wheat,479,Loamy,131,3353
52,2006,Punjab,Wheat,510,Alluvial,104,2871
53,2018,Punjab,Wheat,583,Alluvial,165,2766
54,2000,Punjab,Wheat,455,Loamy,122,3583
55,2010,Punjab,Wheat,688,Loamy,152,3808
56,2019,Punjab,Wheat,466,Alluvial,174,2708
57,2013,Punjab,Bajra,558,Loamy,73,2878
58,2001,Punjab,Wheat,459,Loamy,140,3484
59,2009,Punjab,Wheat,447,Loamy,158,3036
60,2015,Punjab,Wheat,659,Loamy,151,3357
61,2010,Punjab,Wheat,654,Loamy,178,3397
62,2005,Punjab,Bajra,364,Loamy,60,2027
63,2009,Punjab,Bajra,429,Alluvial,87,1871
64,2002,Punjab,Wheat,433,Loamy,169,3503
65,2013,Punjab,Bajra,536,Loamy,69,2769
66,2004,Punjab,Rice,854,Loamy,118,3167
67,2009,Punjab,Bajra,326,Loamy,50,2564
68,2011,Punjab,Bajra,407,Alluvial,62,2419
69,2004,Punjab,Bajra,434,Loamy,79,2048
70,2015,Punjab,Rice,931,Loamy,102,3308
71,2018,Punjab,Rice,872,Loamy,119,2853
72,2004,Punjab,Bajra,600,Loamy,60,2283
73,2002,Punjab,Wheat,655,Alluvial,169,3087
74,2007,Punjab,Rice,863,Loamy,170,3186
75,2008,Punjab,Rice,910,Loamy,172,2802
76,2008,Punjab,Bajra,306,Loamy,98,2743
77,2000,Punjab,Bajra,480,Alluvial,56,1876
78,2008,Punjab,Bajra,505,Alluvial,66,2592
79,2019,Punjab,Wheat,543,Loamy,127,3453
80,2006,Punjab,Bajra,575,Loamy,77,2635
81,2018,Punjab,Bajra,540,Loamy,51,2458
82,2005,Punjab,Rice,917,Loamy,155,3456
83,2006,Punjab,Wheat,668,Alluvial,149,3201
84,2001,Punjab,Wheat,578,Loamy,130,3752
85,2005,Punjab,Rice,945,Alluvial,158,2500
86,2000,Punjab,Rice,820,Loamy,130,3367
87,2001,Punjab,Bajra,351,Loamy,81,2177
88,2007,Punjab,Bajra,347,Alluvial,50,1871
89,2018,Punjab,Rice,896,Alluvial,163,2835
90,2014,Punjab,Wheat,591,Loamy,141,3578
91,2002,Punjab,Bajra,328,Loamy,59,2167
92,2007,Punjab,Wheat,414,Loamy,151,3983
93,2005,Punjab,Wheat,535,Loamy,122,3643
94,2008,Punjab,Bajra,371,Loamy,85,2189
95,2019,Punjab,Rice,895,Alluvial,145,2580
96,2003,Punjab,Wheat,606,Loamy,144,3711
97,2011,Punjab,Wheat,584,Alluvial,140,2878
98,2020,Punjab,Rice,916,Loamy,144,2837
99,2011,Punjab,Wheat,626,Loamy,172,3635
100,2011,Punjab,Bajra,465,Alluvial,73,2380
101,2016,Punjab,Rice,867,Loamy,105,3468
102,2009,Punjab,Wheat,542,Loamy,163,3920
103,2004,Punjab,Wheat,444,Loamy,175,3065
104,2006,Punjab,Wheat,407,Loamy,174,3680
105,2020,Punjab,Rice,984,Loamy,146,3486
106,2020,Punjab,Bajra,479,Alluvial,54,1954
107,2005,Punjab,Rice,854,Loamy,129,3454
108,2007,Punjab,Bajra,358,Alluvial,82,2591
109,2000,Punjab,Rice,874,Alluvial,100,2942
110,2015,Punjab,Wheat,490,Loamy,144,3493
111,2004,Punjab,Bajra,481,Loamy,100,2599
112,2004,Punjab,Rice,802,Loamy,134,3074
113,2020,Punjab,Bajra,433,Loamy,61,2217
114,2009,Punjab,Rice,899,Loamy,153,2865
115,2008,Punjab,Bajra,340,Alluvial,86,2305
116,2008,Punjab,Rice,804,Alluvial,141,2865
117,2006,Punjab,Wheat,598,Alluvial,116,2956
118,2018,Punjab,Rice,879,Loamy,176,2895
119,2012,Punjab,Rice,957,Loamy,154,3500
120,2010,Punjab,Bajra,372,Alluvial,56,2499
121,2005,Punjab,Bajra,333,Loamy,66,2692
122,2020,Punjab,Wheat,516,Loamy,173,3944
123,2011,Punjab,Wheat,401,Loamy,179,3176
124,2016,Punjab,Bajra,533,Loamy,73,2974
125,2006,Punjab,Rice,876,Loamy,158,3313
126,2020,Punjab,Wheat,613,Loamy,109,3582
127,2010,Punjab,Rice,820,Loamy,171,3302
128,2007,Punjab,Wheat,494,Loamy,152,3188
129,2008,Punjab,Rice,810,Loamy,138,3253
130,2005,Punjab,Wheat,434,Alluvial,102,3315
131,2019,Punjab,Bajra,425,Loamy,53,2736
132,2014,Punjab,Bajra,344,Loamy,76,2440
133,2003,Punjab,Bajra,503,Loamy,84,2174
134,2008,Punjab,Bajra,582,Alluvial,74,1858
135,2000,Punjab,Wheat,408,Alluvial,147,2909
136,2012,Punjab,Bajra,593,Loamy,71,2720
137,2010,Punjab,Wheat,490,Loamy,100,3726
138,2019,Punjab,Bajra,315,Loamy,51,2296
139,2020,Punjab,Rice,866,Loamy,139,3162
140,2007,Punjab,Bajra,503,Loamy,86,2110
141,2003,Punjab,Bajra,431,Loamy,87,2227
142,2012,Punjab,Rice,867,Loamy,127,3387
143,2000,Punjab,Bajra,536,Loamy,51,2049
144,2000,Punjab,Rice,924,Loamy,134,2942
145,2001,Punjab,Wheat,637,Loamy,126,3866
146,2015,Punjab,Rice,886,Alluvial,122,2760
147,2020,Punjab,Wheat,571,Loamy,166,3599
148,2010,Punjab,Rice,863,Alluvial,102,2676
149,2007,Punjab,Wheat,402,Loamy,124,3175
150,2001,Punjab,Wheat,549,Alluvial,104,2925
151,2015,Punjab,Rice,889,Alluvial,127,2857
152,2003,Punjab,Bajra,540,Loamy,62,2050
153,2004,Punjab,Rice,972,Loamy,161,2899
154,2014,Punjab,Wheat,435,Loamy,133,3818
155,2005,Punjab,Bajra,513,Loamy,67,2576
156,2013,Punjab,Bajra,516,Loamy,84,2951
157,2007,Punjab,Wheat,418,Loamy,118,3666
158,2000,Punjab,Rice,874,Alluvial,161,3084
159,2004,Punjab,Wheat,614,Loamy,155,3832
160,2005,Punjab,Rice,971,Loamy,143,3344
161,2018,Punjab,Bajra,385,Alluvial,65,1887
162,2010,Punjab,Wheat,596,Alluvial,103,2808
163,2001,Punjab,Bajra,382,Loamy,87,2064
164,2001,Punjab,Rice,921,Alluvial,146,2910
165,2020,Punjab,Rice,871,Alluvial,148,2763
166,2003,Punjab,Bajra,388,Loamy,91,2267
