iter	RMSE
0	13.00209557
1	12.68942033
2	12.51221825
3	12.32111584
4	12.12124374
5	11.94262093
6	11.75851818
7	11.58241289
8	11.50222831
9	11.33681878
10	11.2629063
11	11.06398432
12	10.91297036
13	10.83399453
14	10.70534684
15	10.6259603
16	10.47606485
17	10.3885493
18	10.30891008
19	10.23336261
20	10.09697562
21	9.953866457
22	9.879486581
23	9.805290312
24	9.695632679
25	9.631479598
26	9.5102052
27	9.335977491
28	9.262998925
29	9.217336508
30	9.157037388
31	9.111871819
32	9.061585161
33	9.002277392
34	8.944449516
35	8.808799561
36	8.725561576
37	8.635322752
38	8.56745972
39	8.476077939
40	8.412540726
41	8.293411066
42	8.228373416
43	8.186251977
44	8.068246578
45	7.961058369
46	7.847730726
47	7.811987025
48	7.726809783
49	7.614720506
50	7.552503492
51	7.483723124
52	7.421955314
53	7.34137779
54	7.304622684
55	7.286848431
56	7.185919901
57	7.088693319
58	7.007954664
59	6.969186991
60	6.903364597
61	6.833476321
62	6.820708511
63	6.752818748
64	6.728649671
65	6.694123715
66	6.626792632
67	6.573999242
68	6.548636298
69	6.456496968
70	6.396918487
71	6.317108044
72	6.254505688
73	6.239518925
74	6.197467741
75	6.154140146
76	6.105280783
77	6.054863082
78	6.044475653
79	6.022404075
80	5.971798996
81	5.95680892
82	5.934120985
83	5.907279824
84	5.878970614
85	5.841296766
86	5.788550435
87	5.752338675
88	5.7146779
89	5.675977679
90	5.633923713
91	5.590849333
92	5.55050402
93	5.513928117
94	5.472638896
95	5.418899233
96	5.383309158
97	5.341603246
98	5.332501666
99	5.284779765
100	5.243908838
101	5.219002001
102	5.198210112
103	5.171411006
104	5.16088423
105	5.144775965
106	5.091532598
107	5.056438391
108	5.027890314
109	5.000543146
110	4.981115762
111	4.950178383
112	4.936464161
113	4.921007006
114	4.895551395
115	4.882025943
116	4.854003778
117	4.827924923
118	4.797555358
119	4.794828781
120	4.765533842
121	4.731674311
122	4.716778678
123	4.69175979
124	4.671531757
125	4.648480175
126	4.637174728
127	4.607491995
128	4.587806325
129	4.568709429
130	4.553629053
131	4.517209948
132	4.502550539
133	4.49973274
134	4.479884369
135	4.465000218
136	4.443640726
137	4.414417543
138	4.39321352
139	4.381798623
140	4.355506212
141	4.340758911
142	4.325742642
143	4.303325119
144	4.285217871
145	4.269538131
146	4.245099329
147	4.226970566
148	4.198158659
149	4.19104146
150	4.16961365
151	4.165342289
152	4.137207045
153	4.113504063
154	4.095343852
155	4.072483998
156	4.046805235
157	4.03815354
158	4.027337465
159	4.014910858
160	3.993275394
161	3.972421582
162	3.965229067
163	3.949355991
164	3.947179025
165	3.916294321
166	3.889579818
167	3.884715535
168	3.882295417
169	3.868308841
170	3.844378322
171	3.815577452
172	3.80900707
173	3.795648761
174	3.788705336
175	3.778537503
176	3.771671253
177	3.769126587
178	3.767077745
179	3.761579862
180	3.746015867
181	3.729656476
182	3.713810137
183	3.696411547
184	3.691101612
185	3.678273708
186	3.665587515
187	3.650483341
188	3.641910878
189	3.629583225
190	3.610743222
191	3.59513983
192	3.579425791
193	3.565165295
194	3.552133026
195	3.540540032
196	3.519657531
197	3.509287331
198	3.492874972
199	3.477409451
200	3.465496481
201	3.457186169
202	3.443368536
203	3.433111437
204	3.429531919
205	3.418812818
206	3.402206264
207	3.389234974
208	3.381114034
209	3.369036295
210	3.360200308
211	3.346516957
212	3.337588039
213	3.322196291
214	3.318693409
215	3.310228789
216	3.300593293
217	3.292384631
218	3.283772221
219	3.268553374
220	3.260529606
221	3.244664629
222	3.234333113
223	3.224451601
224	3.215809658
225	3.204589799
226	3.194562898
227	3.181610974
228	3.1710103
229	3.163344227
230	3.158829036
231	3.154030061
232	3.139802395
233	3.133988074
234	3.122684027
235	3.112151038
236	3.105853122
237	3.10047211
238	3.093688523
239	3.08568658
240	3.079069857
241	3.069606061
242	3.066912109
243	3.061286755
244	3.052975381
245	3.04526052
246	3.036456793
247	3.028186424
248	3.025093654
249	3.018958371
250	3.013155288
251	3.009523739
252	3.007691354
253	3.003859813
254	2.999638039
255	2.99480574
256	2.992110331
257	2.990871682
258	2.983962712
259	2.982611427
260	2.973946048
261	2.968993004
262	2.962810034
263	2.955196619
264	2.950971495
265	2.947020746
266	2.942451253
267	2.941130735
268	2.933996629
269	2.929777501
270	2.925508418
271	2.924389555
272	2.923196555
273	2.919187653
274	2.91545256
275	2.911890054
276	2.907097633
277	2.903649363
278	2.900044185
279	2.896628447
280	2.895435498
281	2.888753581
282	2.885380851
283	2.881897686
284	2.879014077
285	2.873133964
286	2.869985231
287	2.869126841
288	2.866304834
289	2.862673901
290	2.859369406
291	2.856361585
292	2.851093972
293	2.848093094
294	2.847298423
295	2.842652769
296	2.837744146
297	2.83423606
298	2.833463493
299	2.830462207
300	2.82970904
301	2.827647336
302	2.82691977
303	2.824112241
304	2.821735578
305	2.821002603
306	2.81525527
307	2.809343556
308	2.806824833
309	2.804404706
310	2.801642278
311	2.79707869
312	2.791544229
313	2.788970571
314	2.788030004
315	2.785644604
316	2.778612952
317	2.775646731
318	2.767325203
319	2.762138853
320	2.758524909
321	2.756244986
322	2.753587773
323	2.747849997
324	2.747155727
325	2.743697685
326	2.741628314
327	2.737908434
328	2.737247233
329	2.734841044
330	2.732709964
331	2.728304906
332	2.723297626
333	2.71948177
334	2.718848877
335	2.711219465
336	2.708816736
337	2.706613287
338	2.699814375
339	2.692764311
340	2.690535782
341	2.689717818
342	2.685077783
343	2.683070397
344	2.682139513
345	2.68153523
346	2.677619915
347	2.674296527
348	2.672410529
349	2.669445417
350	2.666530286
351	2.663100408
352	2.659018119
353	2.654613039
354	2.651530043
355	2.649642302
356	2.64501682
357	2.64364524
358	2.639722538
359	2.637963652
360	2.633665246
361	2.632971518
362	2.632395155
363	2.628394124
364	2.62547753
365	2.622311855
366	2.619145252
367	2.614002912
368	2.611273272
369	2.608517786
370	2.605903733
371	2.603867424
372	2.600238087
373	2.595159405
374	2.593205629
375	2.59163275
376	2.590991872
377	2.590438223
378	2.588928971
379	2.586179956
380	2.583377101
381	2.582800259
382	2.581108261
383	2.577916821
384	2.577167528
385	2.575801914
386	2.573850572
387	2.570474559
388	2.569924942
389	2.568618646
390	2.563188101
391	2.5619127
392	2.560508931
393	2.55777596
394	2.557069567
395	2.556564314
396	2.554660778
397	2.553142931
398	2.551745919
399	2.549458834
400	2.548591649
401	2.546741663
402	2.544375419
403	2.542506206
404	2.54102664
405	2.539643107
406	2.53738815
407	2.536193496
408	2.532713682
409	2.530610111
410	2.529954813
411	2.528470723
412	2.526979017
413	2.525570225
414	2.523196696
415	2.522664392
416	2.519613287
417	2.518288206
418	2.516135898
419	2.514779264
420	2.514267124
421	2.509719607
422	2.507193008
423	2.505807772
424	2.503878626
425	2.502396909
426	2.499493491
427	2.498536917
428	2.497676644
429	2.495192856
430	2.494125692
431	2.493272359
432	2.492868362
433	2.491705031
434	2.490419292
435	2.489937786
436	2.488224759
437	2.48697785
438	2.486146727
439	2.485763158
440	2.484479801
441	2.482397037
442	2.481064314
443	2.480611185
444	2.479053773
445	2.47738178
446	2.472728041
447	2.471408779
448	2.46975707
449	2.46903547
450	2.466563081
451	2.465429057
452	2.463342903
453	2.46090781
454	2.45919496
455	2.458050901
456	2.456539208
457	2.455464537
458	2.450819358
459	2.448185446
460	2.445892809
461	2.44492922
462	2.443063736
463	2.438909655
464	2.436765823
465	2.434842102
466	2.434373912
467	2.43283806
468	2.430599652
469	2.430194661
470	2.427378949
471	2.425934354
472	2.422337382
473	2.420770834
474	2.419796344
475	2.41747165
476	2.417078299
477	2.41579991
478	2.411710517
479	2.408871767
480	2.406995244
481	2.405840783
482	2.400442623
483	2.399070455
484	2.398018577
485	2.396834508
486	2.396037286
487	2.392371167
488	2.389407669
489	2.386986692
490	2.385878933
491	2.384805518
492	2.383986264
493	2.382962309
494	2.382061975
495	2.381682111
496	2.377940036
497	2.374818065
498	2.374312167
499	2.372051254
500	2.370190643
501	2.368635081
502	2.367131139
503	2.366157151
504	2.364100617
505	2.36233574
506	2.361719514
507	2.358151658
508	2.353000001
509	2.350871983
510	2.349619402
511	2.347436402
512	2.347024445
513	2.345895482
514	2.345170754
515	2.34313882
516	2.342128283
517	2.338989102
518	2.338698326
519	2.337456957
520	2.335959097
521	2.335628745
522	2.334079544
523	2.333164729
524	2.328496609
525	2.32379829
526	2.32281426
527	2.321639856
528	2.320676908
529	2.318634014
530	2.316912473
531	2.315036192
532	2.313051074
533	2.310505487
534	2.309363118
535	2.308566491
536	2.307708574
537	2.305634641
538	2.304000584
539	2.303215281
540	2.302778928
541	2.300638775
542	2.299909521
543	2.298059675
544	2.297262373
545	2.294048793
546	2.292930224
547	2.29123546
548	2.290821255
549	2.289833867
550	2.288709604
551	2.287655424
552	2.286672826
553	2.286336639
554	2.283924335
555	2.282535536
556	2.28060802
557	2.279517503
558	2.279251044
559	2.2779141
560	2.276027411
561	2.274848709
562	2.27302652
563	2.272429158
564	2.271662564
565	2.268654989
566	2.267180506
567	2.266074208
568	2.264508119
569	2.264253292
570	2.264006325
571	2.262428158
572	2.26062711
573	2.259761542
574	2.258679495
575	2.256982502
576	2.255725464
577	2.253673412
578	2.252551701
579	2.25106321
580	2.249662863
581	2.248609185
582	2.24708978
583	2.246019407
584	2.244330189
585	2.243694922
586	2.242860808
587	2.242128131
588	2.240408351
589	2.239815327
590	2.239576619
591	2.238176283
